"","NAME","less40k","over100k","highschool","NotInLaborForce","under35","under55","under65","WHITEMALE","WHITEFEMALE","BLACKMALE","BLACKFEMALE","HISPANICFEMALE","HISPANICMALE","state_po","state_fips","percent"
"1","alabama",0.409731713754482,0.212640659823662,0.434595213046867,0.424479008832033,0.372972099083981,0.41164731483188,0.215380586084139,0.404070190414294,0.438997261319288,0.141514131527809,0.173790469908463,0.0194792303240179,0.022018734257436,"AL",1,0.620316431668648
"2","alaska",0.23716182611922,0.376785108113015,0.353018807039608,0.324606589323257,0.413325304832154,0.391592152140097,0.195082543027748,0.395000250890662,0.347449445531637,0.0212313713683577,0.0162537006372623,0.0326639570475187,0.0368909629183602,"AK",2,0.528331432703808
"3","arizona",0.336891759240966,0.259734107840956,0.35903567767273,0.399316827467297,0.410818889622928,0.404959830276361,0.184221280100711,0.357418923363511,0.37816973639815,0.0219659347700962,0.0202590582124296,0.135786708478527,0.134531360312568,"AZ",4,0.490559810304647
"4","arkansas",0.428051475254971,0.185832302164548,0.467341845600926,0.419321664421571,0.383326048103211,0.410974401684311,0.205699550212479,0.440008069793367,0.475585512651729,0.0793653831729289,0.0930540288184736,0.0350094535560114,0.038660000465565,"AR",5,0.623957298561443
"5","california",0.274546072580857,0.37716947814465,0.364442935858248,0.362597823637806,0.408801405951259,0.415230034927941,0.175968559120799,0.246873825150335,0.256147567039008,0.0251587204530719,0.0262179673115343,0.15651644564763,0.15525282713874,"CA",6,0.343207236252849
"6","colorado",0.265239921563299,0.345787377721855,0.2911913953046,0.31792128198892,0.403778274737126,0.412840292074134,0.18338143318874,0.414101182072928,0.420341992375599,0.0217327256582187,0.0186558152599281,0.0938316885830623,0.0966160395371884,"CO",8,0.416041256349124
"7","connecticut",0.260507781893947,0.394044556759604,0.353900542542699,0.339736577045391,0.368065560289126,0.416527029784392,0.215407409926482,0.391687251513334,0.434212478899888,0.0524677856166798,0.0600750329254494,0.0798071156069722,0.0767139783217605,"CT",9,0.391871182883307
"8","delaware",0.289321868755539,0.310941809194048,0.404255225263653,0.378320725903377,0.372491478114033,0.40525899602417,0.222249525861797,0.393852900591649,0.437503544222445,0.115757455468814,0.135590924270205,0.0446036456659673,0.0468750984506235,"DE",10,0.397748767711055
"9","district of columbia",0.274268072267974,0.445802535989817,0.247333590976641,0.293057946265744,0.484127481636626,0.375549426236762,0.140323092126611,0.231638470161362,0.235080680846043,0.197515044691584,0.258551137201687,0.0515630992064663,0.0533736245906959,"DC",11,0.0539732137671479
"10","florida",0.358772158978614,0.243441221533105,0.397260602624946,0.410515593583949,0.361940638224441,0.426919070904343,0.211140290871216,0.364990060601262,0.398618194728098,0.0727774898286613,0.0822628429772922,0.132069807112577,0.124224052726438,"FL",12,0.51219819622504
"11","georgia",0.346835610745776,0.265122520550453,0.396492065590641,0.366626623197788,0.383711315068076,0.428163034046916,0.188125650885008,0.318448872506911,0.338286471940353,0.156376358278391,0.188249665558402,0.0429326788859293,0.0475748497683733,"GA",13,0.492374738997912
"12","hawaii",0.234571985790903,0.397623981333148,0.348151337333642,0.346860648517282,0.390038576630494,0.407411845294775,0.202549578074731,0.165384313584106,0.142528879453862,0.0149386357997069,0.00836427876122147,0.0487212875560146,0.051261958437339,"HI",15,0.339547141694148
"13","idaho",0.350968559129408,0.224024139376008,0.354396583035315,0.368712602807813,0.393560480929375,0.408808894578189,0.197630624492436,0.491999421893711,0.507191057246287,0.00460334338137121,0.00235113763059008,0.0583431404935927,0.0624647286341551,"ID",16,0.638375648319036
"14","illinois",0.310412382323724,0.317790634761647,0.359025521774667,0.347626904086131,0.383075912167718,0.4190247841796,0.197899303652682,0.365772769243328,0.391102699710505,0.0665670785166808,0.0798650128485626,0.078921494810976,0.0822818630854829,"IL",17,0.405534508181737
"15","indiana",0.352768556410453,0.231505447166396,0.438589801575396,0.362395213146773,0.382231774331645,0.409940066207056,0.207828159461299,0.472745772900513,0.508021504654853,0.0488209252167263,0.0554818440728691,0.0329755351920882,0.0353444389243812,"IN",18,0.570211577657051
"16","iowa",0.323177183551131,0.252098622412331,0.382814281587789,0.329441733811399,0.385508095867901,0.400016031421586,0.214475872710513,0.526422788665785,0.560959981563865,0.0212556610957477,0.0181150054106048,0.028617089495411,0.0307507715121638,"IA",19,0.528001976319458
"17","kansas",0.331815480855488,0.257053719048517,0.344980360775945,0.333595080494908,0.397781134407352,0.399071948379759,0.203146917212889,0.458590020545242,0.487432912317547,0.0333491926382031,0.0298278110617882,0.0541428456314801,0.0581502712762327,"KS",20,0.562125128342647
